class,size
com.dexvis.dex.task.tablemanipulation.ReplaceAll,5899
com.dexvis.dex.task.tablemanipulation.SelectColumns$1,4856
com.dexvis.dex.task.tablemanipulation.SelectColumns$_getConfig_closure1,2460
com.dexvis.dex.task.tablemanipulation.SelectColumns,10995
com.dexvis.dex.task.tablemanipulation.SplitColumns$1,4850
com.dexvis.dex.task.tablemanipulation.SplitColumns$_execute_closure1$_closure2$_closure3,3072
com.dexvis.dex.task.tablemanipulation.SplitColumns$_execute_closure1$_closure2,3661
com.dexvis.dex.task.tablemanipulation.SplitColumns$_execute_closure1,3660
com.dexvis.dex.task.tablemanipulation.SplitColumns,11224
com.dexvis.dex.task.tablemanipulation.TrimColumns$_execute_closure1,2279
com.dexvis.dex.task.tablemanipulation.TrimColumns$_execute_closure2$_closure3,2235
com.dexvis.dex.task.tablemanipulation.TrimColumns$_execute_closure2,2472
com.dexvis.dex.task.tablemanipulation.TrimColumns,4040
com.dexvis.dex.task.utilities.DataRecorder$_execute_closure1,2132
com.dexvis.dex.task.utilities.DataRecorder$_execute_closure2$_closure3,2086
com.dexvis.dex.task.utilities.DataRecorder$_execute_closure2,2445
com.dexvis.dex.task.utilities.DataRecorder,6403
com.dexvis.dex.task.utilities.Documentation,10399
com.dexvis.dex.task.utilities.Environment$1,3926
com.dexvis.dex.task.utilities.Environment$2,4359
com.dexvis.dex.task.utilities.Environment$3,4360
com.dexvis.dex.task.utilities.Environment$_closure1,2784
com.dexvis.dex.task.utilities.Environment$_execute_closure3,2900
com.dexvis.dex.task.utilities.Environment$_initialize_closure2,2909
com.dexvis.dex.task.utilities.Environment,10550
com.dexvis.dex.task.utilities.ExecuteProcess$_execute_closure1,3538
com.dexvis.dex.task.utilities.ExecuteProcess,9620
com.dexvis.dex.task.utilities.Google,1864
com.dexvis.dex.task.utilities.GroovyFilter$1,4810
com.dexvis.dex.task.utilities.GroovyFilter$_execute_closure1$_closure2,3134
com.dexvis.dex.task.utilities.GroovyFilter$_execute_closure1,3037
com.dexvis.dex.task.utilities.GroovyFilter,12460
com.dexvis.dex.task.utilities.Group,3990
com.dexvis.dex.task.utilities.ViewData$1,4786
com.dexvis.dex.task.utilities.ViewData$_execute_closure1,3406
com.dexvis.dex.task.utilities.ViewData,10388
com.dexvis.dex.task.vis.c3.AreaChart,2243
com.dexvis.dex.task.vis.c3.BarChart,2237
com.dexvis.dex.task.vis.c3.LineChart,2243
com.dexvis.dex.task.vis.c3.LineChartMultiples,2298
com.dexvis.dex.task.vis.c3.Scatterplot,2254
com.dexvis.dex.task.vis.c3.StackedAreaChart,2286
com.dexvis.dex.task.vis.c3.StackedBarChart,2280
com.dexvis.dex.task.vis.c3.StepChart,2243
com.dexvis.dex.task.vis.d3.CircularHeat,2261
com.dexvis.dex.task.vis.d3.ClusteredForce,2273
com.dexvis.dex.task.vis.d3.CoOccurrence,2261
com.dexvis.dex.task.vis.d3.Force,2231
com.dexvis.dex.task.vis.d3.IndentedTree,2261
com.dexvis.dex.task.vis.d3.NodeLinkTree,2262
