county,technology,columns,category,ballots
Jefferson,Datavote,1,Phillips,0
Jefferson,Datavote,1,Moorehead,0
Jefferson,Datavote,1,Chote,0
Jefferson,Datavote,1,McCarthy,1
Lafayette,Optical,2,under,17
Lafayette,Optical,2,over,160
Lafayette,Optical,2,Bush,1670
Lafayette,Optical,2,Gore,789
Lafayette,Optical,2,Browne,6
Lafayette,Optical,2,Nader,26
Lafayette,Optical,2,Harris,2
Lafayette,Optical,2,Hagelin,0
Lafayette,Optical,2,Buchanan,10
Lafayette,Optical,2,McReynolds,1
Lafayette,Optical,2,Phillips,1
Lafayette,Optical,2,Moorehead,0
Lafayette,Optical,2,Chote,0
Lafayette,Optical,2,McCarthy,0
Lake,Optical,1,under,203
Lake,Optical,1,over,3138
Lake,Optical,1,Bush,50010
Lake,Optical,1,Gore,36571
Lake,Optical,1,Browne,204
Lake,Optical,1,Nader,1460
Lake,Optical,1,Harris,4
Lake,Optical,1,Hagelin,36
Lake,Optical,1,Buchanan,289
Lake,Optical,1,McReynolds,1
Lake,Optical,1,Phillips,21
Lake,Optical,1,Moorehead,15
Lake,Optical,1,Chote,0
Lake,Optical,1,McCarthy,0
Lee,Votomatic,1,under,1975
Lee,Votomatic,1,over,2531
Lee,Votomatic,1,Bush,106141
Lee,Votomatic,1,Gore,73560
Lee,Votomatic,1,Browne,538
Lee,Votomatic,1,Nader,3587
Lee,Votomatic,1,Harris,30
Lee,Votomatic,1,Hagelin,81
Lee,Votomatic,1,Buchanan,305
Lee,Votomatic,1,McReynolds,5
Lee,Votomatic,1,Phillips,34
Lee,Votomatic,1,Moorehead,96
Lee,Votomatic,1,Chote,0
Lee,Votomatic,1,McCarthy,0
Leon,Optical,1,under,176
Leon,Optical,1,over,0
Leon,Optical,1,Bush,39062
Leon,Optical,1,Gore,61427
Leon,Optical,1,Browne,330
Leon,Optical,1,Nader,1932
Leon,Optical,1,Harris,9
Leon,Optical,1,Hagelin,28
Leon,Optical,1,Buchanan,282
Leon,Optical,1,McReynolds,7
Leon,Optical,1,Phillips,16
Leon,Optical,1,Moorehead,31
Leon,Optical,1,Chote,0
Leon,Optical,1,McCarthy,0
Levy,Optical,2,under,51
Levy,Optical,2,over,708
Levy,Optical,2,Bush,6858
Levy,Optical,2,Gore,5398
Levy,Optical,2,Browne,92
Levy,Optical,2,Nader,284
Levy,Optical,2,Harris,1
Levy,Optical,2,Hagelin,1
Levy,Optical,2,Buchanan,67
Levy,Optical,2,McReynolds,1
Levy,Optical,2,Phillips,10
Levy,Optical,2,Moorehead,12
Levy,Optical,2,Chote,0
Levy,Optical,2,McCarthy,0
Liberty,Optical,2,under,21
Liberty,Optical,2,over,167
Liberty,Optical,2,Bush,1317
Liberty,Optical,2,Gore,1017
Liberty,Optical,2,Browne,12
Liberty,Optical,2,Nader,19
Liberty,Optical,2,Harris,0
Liberty,Optical,2,Hagelin,3
Liberty,Optical,2,Buchanan,39
Liberty,Optical,2,McReynolds,0
Liberty,Optical,2,Phillips,1
Liberty,Optical,2,Moorehead,2
Liberty,Optical,2,Chote,0
Liberty,Optical,2,McCarthy,0
Madison,Datavote,1,under,31
Madison,Datavote,1,over,444
Madison,Datavote,1,Bush,3038
Madison,Datavote,1,Gore,3014
Madison,Datavote,1,Browne,18
Madison,Datavote,1,Nader,54
Madison,Datavote,1,Harris,0
Madison,Datavote,1,Hagelin,2
Madison,Datavote,1,Buchanan,29
Madison,Datavote,1,McReynolds,1
Madison,Datavote,1,Phillips,1
Madison,Datavote,1,Moorehead,5
Madison,Datavote,1,Chote,0
Madison,Datavote,1,McCarthy,0
Manatee,Optical,1,under,109
Manatee,Optical,1,over,1264
Manatee,Optical,1,Bush,57952
Manatee,Optical,1,Gore,49177
Manatee,Optical,1,Browne,242
Manatee,Optical,1,Nader,2491
Manatee,Optical,1,Harris,5
Manatee,Optical,1,Hagelin,35
Manatee,Optical,1,Buchanan,271
Manatee,Optical,1,McReynolds,3
Manatee,Optical,1,Phillips,19
Manatee,Optical,1,Moorehead,26
Manatee,Optical,1,Chote,0
Manatee,Optical,1,McCarthy,0
Marion,Votomatic,1,under,2410
Marion,Votomatic,1,over,890
Marion,Votomatic,1,Bush,55141
Marion,Votomatic,1,Gore,44665
Marion,Votomatic,1,Browne,662
Marion,Votomatic,1,Nader,1809
Marion,Votomatic,1,Harris,13
Marion,Votomatic,1,Hagelin,26
Marion,Votomatic,1,Buchanan,563
Marion,Votomatic,1,McReynolds,6
Marion,Votomatic,1,Phillips,22
Marion,Votomatic,1,Moorehead,49
Marion,Votomatic,1,Chote,0
Marion,Votomatic,1,McCarthy,0
Martin,Lever,1,under,177
Martin,Lever,1,over,56
Martin,Lever,1,Bush,33970
Martin,Lever,1,Gore,26620
Martin,Lever,1,Browne,109
Martin,Lever,1,Nader,1118
Martin,Lever,1,Harris,14
Martin,Lever,1,Hagelin,29
Martin,Lever,1,Buchanan,112
Martin,Lever,1,McReynolds,7
Martin,Lever,1,Phillips,20
Martin,Lever,1,Moorehead,14
Martin,Lever,1,Chote,0
Martin,Lever,1,McCarthy,0
MiamiDade,Votomatic,1,under,10570
